unix,Date,Symbol,Open,High,Low,Close,Volume BTC,Volume
1640991600,12/31/2021 23:00,BTC/USD,46322.7,46488.57,46140,46214.37,38.01917008,1757031.993
1640988000,12/31/2021 22:00,BTC/USD,46342.34,46560.81,46254.81,46322.7,55.45108467,2568643.96
1640984400,12/31/2021 21:00,BTC/USD,45904.24,46516.01,45774.79,46329.19,69.86459176,3236769.946
1640980800,12/31/2021 20:00,BTC/USD,45703.05,46208.92,45655.31,45876.39,94.21193022,4322103.253
1640977200,12/31/2021 19:00,BTC/USD,46659.24,46674.91,45666,45703.05,227.6186876,10402868.26
1640973600,12/31/2021 18:00,BTC/USD,46974.42,47024.5,46494.35,46648.83,107.5090703,5015172.343
1640970000,12/31/2021 17:00,BTC/USD,47450,47561.52,46888,47031.4,107.9609759,5077555.84
1640966400,12/31/2021 16:00,BTC/USD,47970.83,48109.99,47436.87,47493.59,76.99836899,3656928.967
1640962800,12/31/2021 15:00,BTC/USD,48014.87,48105.7,47853.47,47951.93,70.55581061,3383287.291
1640959200,12/31/2021 14:00,BTC/USD,47939.47,48146.05,47846.34,47998.28,31.22185602,1498595.387
1640955600,12/31/2021 13:00,BTC/USD,47992.04,48083.53,47888.88,47951.95,29.27068353,1403586.353
1640952000,12/31/2021 12:00,BTC/USD,48010.08,48120.66,47840,47993.07,32.5046322,1559997.088
1640948400,12/31/2021 11:00,BTC/USD,48027.42,48218.17,47920,47989.61,29.45301904,1413438.897
1640944800,12/31/2021 10:00,BTC/USD,48320.75,48546.6,47940,48046.32,153.346003,7367711.128
1640941200,12/31/2021 9:00,BTC/USD,48500,48589.47,48258.79,48311.07,70.10296895,3386749.44
1640937600,12/31/2021 8:00,BTC/USD,47199,48563.57,47084.06,48452.54,175.2918376,8493334.772
1640934000,12/31/2021 7:00,BTC/USD,47413.63,47483.74,46824.29,47178.94,98.13220849,4629773.576
1640930400,12/31/2021 6:00,BTC/USD,47279.08,47560.04,47168.57,47406.83,58.39742924,2768437
1640926800,12/31/2021 5:00,BTC/USD,47365.5,47409.52,47219.96,47301.19,52.86635097,2500641.312
1640923200,12/31/2021 4:00,BTC/USD,47210,47460.78,47154.28,47354.47,67.72288619,3206981.382
1640919600,12/31/2021 3:00,BTC/USD,46976.5,47286.37,46927.88,47204.09,44.28231371,2090306.322
1640916000,12/31/2021 2:00,BTC/USD,47117.21,47118.7,46840,47017.85,21.92877841,1031044.014
1640912400,12/31/2021 1:00,BTC/USD,47108.95,47332.43,46866.52,47136.34,25.5141285,1202642.636
1640908800,12/31/2021 0:00,BTC/USD,47110.3,47386.74,46860,47104.82,60.32781821,2841731.018
1640905200,12/30/2021 23:00,BTC/USD,47109,47239,46881.25,47150.71,86.74922273,4090287.444
1640901600,12/30/2021 22:00,BTC/USD,47294.47,47331.27,46738.85,47094.93,100.1160653,4714959.085
1640898000,12/30/2021 21:00,BTC/USD,47242.04,47363.57,46910.59,47290.44,61.99166033,2931612.893
1640894400,12/30/2021 20:00,BTC/USD,47580.01,47702.97,47100,47222.82,61.86212319,2921303.908
1640890800,12/30/2021 19:00,BTC/USD,47895.43,47916.32,47548.32,47572.09,43.48391761,2068620.842
1640887200,12/30/2021 18:00,BTC/USD,47685.33,47900,47505.96,47877.61,33.25005386,1591933.111
1640883600,12/30/2021 17:00,BTC/USD,47617.12,47782.94,47472.49,47685.33,63.43048898,3024703.799
1640880000,12/30/2021 16:00,BTC/USD,47162.58,47652.36,47100,47600.88,164.0818279,7810439.401
1640876400,12/30/2021 15:00,BTC/USD,47348.77,47510.53,47140,47142.84,93.65383423,4415107.722
1640872800,12/30/2021 14:00,BTC/USD,47327.46,47438.82,47180,47356.07,263.5232649,12479426.18
1640869200,12/30/2021 13:00,BTC/USD,47534.75,47563.96,47317.85,47340.32,73.89959658,3498430.55
1640865600,12/30/2021 12:00,BTC/USD,47538.07,47731.46,47409.32,47544.1,95.37384452,4534463.601
1640862000,12/30/2021 11:00,BTC/USD,46943.04,47585.03,46896.23,47538.07,135.2420946,6429148.161
1640858400,12/30/2021 10:00,BTC/USD,46773.27,46969.49,46660.02,46940.5,62.29957575,2924373.235
1640854800,12/30/2021 9:00,BTC/USD,46822.8,47000,46735.16,46773.94,91.46843628,4278339.15
1640851200,12/30/2021 8:00,BTC/USD,47002.24,47175.87,46760.6,46809.7,89.61826606,4195004.149
1640847600,12/30/2021 7:00,BTC/USD,46900.77,47105.92,46851.64,46994.93,55.37023387,2602120.265
1640844000,12/30/2021 6:00,BTC/USD,46768.25,46977.4,46718.93,46918.74,29.01044968,1361133.746
1640840400,12/30/2021 5:00,BTC/USD,46718.45,46820.43,46584.01,46772.29,30.56235856,1429471.498
1640836800,12/30/2021 4:00,BTC/USD,46505.38,46936.74,46505.38,46731.2,68.8502494,3217454.775
1640833200,12/30/2021 3:00,BTC/USD,46645.79,46727.65,46480,46517.75,68.23904598,3174326.881
1640829600,12/30/2021 2:00,BTC/USD,46548.58,46675.94,46240,46665.84,117.1894194,5468742.696
1640826000,12/30/2021 1:00,BTC/USD,46651.57,46742.24,46455.49,46578.9,33.46432078,1558731.251
1640822400,12/30/2021 0:00,BTC/USD,46474.59,46846.8,45934.37,46682.28,239.5400925,11182277.67
1640818800,12/29/2021 23:00,BTC/USD,47298.9,47383.77,46099.94,46483.36,194.1209715,9023395.003
1640815200,12/29/2021 22:00,BTC/USD,47192.35,47498.42,47098.92,47296.6,25.18581704,1191203.514
1640811600,12/29/2021 21:00,BTC/USD,47360,47401.77,47068.75,47234.01,44.90576323,2121079.269
1640808000,12/29/2021 20:00,BTC/USD,47161.2,47722.19,47081.39,47357.63,64.67141036,3062684.723
1640804400,12/29/2021 19:00,BTC/USD,47547.85,47562.69,46993.06,47148.29,188.8588665,8904372.605
1640800800,12/29/2021 18:00,BTC/USD,47579.42,47782.64,47410,47548,67.26254048,3198199.275
1640797200,12/29/2021 17:00,BTC/USD,47740.99,47740.99,47489.4,47579.64,50.68566567,2411605.726
1640793600,12/29/2021 16:00,BTC/USD,47995.14,48053.31,47566.59,47746.94,100.8644337,4815968.062
1640790000,12/29/2021 15:00,BTC/USD,47862,48042.93,47749.74,47981.83,114.0426084,5471973.049
1640786400,12/29/2021 14:00,BTC/USD,47436.08,47936.69,47256.48,47845.5,226.0605512,10815980.1
1640782800,12/29/2021 13:00,BTC/USD,46834.77,47492.5,46596,47441.42,109.349025,5187673.02
1640779200,12/29/2021 12:00,BTC/USD,47728,47795.16,46666,46847.07,248.509486,11641941.29
1640775600,12/29/2021 11:00,BTC/USD,47685.34,47785.07,47531,47748.34,27.66380667,1320900.847
1640772000,12/29/2021 10:00,BTC/USD,47958.56,47989.77,47648.07,47703.33,74.81338976,3568847.82
1640768400,12/29/2021 9:00,BTC/USD,47722.69,48079,47398.16,47952.03,98.73028642,4734317.656
1640764800,12/29/2021 8:00,BTC/USD,47575.47,47836.24,47550.75,47728.09,65.38523361,3120712.314
1640761200,12/29/2021 7:00,BTC/USD,47854.41,47879.85,47534.78,47546.06,60.43108012,2873259.761
1640757600,12/29/2021 6:00,BTC/USD,47908.13,48014.2,47732.68,47835.3,53.63584984,2565686.968
1640754000,12/29/2021 5:00,BTC/USD,47801.77,47922.44,47760,47913.67,14.99965124,718688.3396
1640750400,12/29/2021 4:00,BTC/USD,48019.89,48076.53,47770.19,47806.2,53.03444673,2535375.367
1640746800,12/29/2021 3:00,BTC/USD,48016.83,48157.41,47873.88,48022.82,53.0716807,2548651.769
1640743200,12/29/2021 2:00,BTC/USD,47744.64,48039,47683.19,48030.21,64.91974841,3118109.149
1640739600,12/29/2021 1:00,BTC/USD,47777.24,47988.95,47706.17,47768.16,41.81101541,1997235.274
1640736000,12/29/2021 0:00,BTC/USD,47597.7,47856.45,47480,47777.24,46.29483041,2211839.223
1640732400,12/28/2021 23:00,BTC/USD,47701.6,47803.25,47523.56,47543.3,107.4346248,5107796.595
1640728800,12/28/2021 22:00,BTC/USD,47564.21,47739.61,47332.43,47702.07,66.79124467,3186080.629
1640725200,12/28/2021 21:00,BTC/USD,47816.84,47853.43,47486,47570.6,49.24559948,2342642.715
1640721600,12/28/2021 20:00,BTC/USD,47719.93,48048.69,47573.57,47795.38,159.268397,7612293.558
1640718000,12/28/2021 19:00,BTC/USD,47799.48,47799.69,47300,47706.3,86.43129705,4123317.386
1640714400,12/28/2021 18:00,BTC/USD,48029.09,48029.09,47631.22,47799.45,57.19304605,2733796.145
1640710800,12/28/2021 17:00,BTC/USD,48638.26,48654.47,47651,48025.3,213.2575368,10241757.18
1640707200,12/28/2021 16:00,BTC/USD,48960.04,48993.76,48133.85,48638.88,201.4698157,9799266.19
1640703600,12/28/2021 15:00,BTC/USD,49100.39,49243.23,48873.94,48970.46,93.22650231,4565344.702
1640700000,12/28/2021 14:00,BTC/USD,49040.05,49159,48335.12,49087.29,120.0431823,5892594.502
1640696400,12/28/2021 13:00,BTC/USD,49111.07,49337.13,49000,49040.05,38.59989406,1892940.735
1640692800,12/28/2021 12:00,BTC/USD,49215.36,49383.76,49102.11,49133.99,28.40908694,1395851.794
1640689200,12/28/2021 11:00,BTC/USD,49063.2,49263.89,48925.24,49228.48,33.3270254,1640638.803
1640685600,12/28/2021 10:00,BTC/USD,49054.58,49187.92,48817.31,49038.04,150.1280632,7361985.969
1640682000,12/28/2021 9:00,BTC/USD,49389.68,49475.68,49031.93,49051.82,74.41586799,3650233.762
1640678400,12/28/2021 8:00,BTC/USD,49246.52,49458.55,49147.82,49401.26,79.86426281,3945395.212
1640674800,12/28/2021 7:00,BTC/USD,49231.01,49373.24,49066.38,49246.52,32.8616685,1618322.815
1640671200,12/28/2021 6:00,BTC/USD,49203.15,49366.36,49110.7,49237.66,52.60658427,2590225.11
1640667600,12/28/2021 5:00,BTC/USD,49054.62,49260.46,48976.71,49224.21,36.94713572,1818693.568
1640664000,12/28/2021 4:00,BTC/USD,49799.79,49799.79,48688,49066.38,182.8633889,8972444.527
1640660400,12/28/2021 3:00,BTC/USD,49761.21,49849.8,49501.63,49813.26,37.09139536,1847643.321
1640656800,12/28/2021 2:00,BTC/USD,49812.88,49961.24,49607.82,49784.21,41.11308759,2046782.586
1640653200,12/28/2021 1:00,BTC/USD,50334.77,50358.35,49640.01,49869.63,166.5577597,8306173.848
1640649600,12/28/2021 0:00,BTC/USD,50708.05,50719.59,50050,50381.21,106.122167,5346563.18
1640646000,12/27/2021 23:00,BTC/USD,51049.32,51078.84,50639.81,50718.11,83.42775194,4231297.9
1640642400,12/27/2021 22:00,BTC/USD,50968.58,51237,50750,51053.47,34.42412967,1757471.271
1640638800,12/27/2021 21:00,BTC/USD,51265.82,51319.5,50966.99,50990.92,17.18366181,876210.7247
1640635200,12/27/2021 20:00,BTC/USD,51210,51388.41,50950,51269.72,43.89629136,2250550.567
1640631600,12/27/2021 19:00,BTC/USD,51708.8,51739.98,51231,51248.39,42.02409484,2153667.202
1640628000,12/27/2021 18:00,BTC/USD,51901.96,51984.92,51641.78,51716.62,45.77765304,2367465.487
1640624400,12/27/2021 17:00,BTC/USD,51507.73,52098.6,51477.53,51898.74,95.06403742,4933703.761
1640620800,12/27/2021 16:00,BTC/USD,51481.55,51535.74,51245.14,51494.96,24.68869549,1271343.387
1640617200,12/27/2021 15:00,BTC/USD,51527.77,51688.37,51398.8,51462.42,46.31677453,2383573.304
1640613600,12/27/2021 14:00,BTC/USD,51341.19,51725.06,51254,51546.18,114.1068443,5881771.936
1640610000,12/27/2021 13:00,BTC/USD,51157.27,51435.13,51039.92,51332.23,68.46003016,3514206.014
1640606400,12/27/2021 12:00,BTC/USD,50795.1,51231.17,50620.44,51157.27,34.67689307,1773975.182
1640602800,12/27/2021 11:00,BTC/USD,50817.59,50891.52,50717.39,50788.9,16.42133914,834021.7514
1640599200,12/27/2021 10:00,BTC/USD,50800.16,50927.92,50730.32,50818.79,33.06728775,1680439.552
1640595600,12/27/2021 9:00,BTC/USD,50564.56,50809.78,50525,50794.5,45.63604315,2318059.994
1640592000,12/27/2021 8:00,BTC/USD,50733.22,50876.1,50550,50565.8,60.87135776,3078008.902
