unix,Date,symbol,Open,High,Low,Close,Volume ETH,Volume
1646089200,2/28/2022 23:00,ETH/USD,2899.42,2927.18,2894.74,2925.52,1319.262474,3859528.753
1646085600,2/28/2022 22:00,ETH/USD,2821.07,2956.09,2820.62,2886.75,833.4440181,2405944.519
1646082000,2/28/2022 21:00,ETH/USD,2834.05,2834.05,2810.73,2821.07,177.6338134,501117.4219
1646078400,2/28/2022 20:00,ETH/USD,2809.9,2840.06,2797.17,2837.11,848.2405556,2406551.763
1646074800,2/28/2022 19:00,ETH/USD,2804.78,2810.52,2792.75,2809.12,664.5003889,1866661.332
1646071200,2/28/2022 18:00,ETH/USD,2819.99,2823.07,2796.15,2808.93,655.9157018,1842421.292
1646067600,2/28/2022 17:00,ETH/USD,2810.24,2820.17,2788.11,2813.88,1171.992428,3297846.054
1646064000,2/28/2022 16:00,ETH/USD,2817.06,2833.64,2797.98,2809.1,1816.078366,5101545.739
1646060400,2/28/2022 15:00,ETH/USD,2765,2829.1,2741.43,2819.23,2283.844474,6438682.857
1646056800,2/28/2022 14:00,ETH/USD,2618.25,2766.56,2617,2761.08,2208.552463,6097990.035
1646053200,2/28/2022 13:00,ETH/USD,2625.07,2641.38,2608.94,2620.95,510.3457705,1337590.747
1646049600,2/28/2022 12:00,ETH/USD,2641.9,2666.77,2630,2636.83,224.2845004,591400.0991
1646046000,2/28/2022 11:00,ETH/USD,2644.05,2647.89,2622.51,2641.24,140.6607311,371518.7494
1646042400,2/28/2022 10:00,ETH/USD,2614,2644.9,2614,2638.44,314.6688783,830234.9553
1646038800,2/28/2022 9:00,ETH/USD,2627.46,2644.81,2616.58,2618.17,620.9067508,1625639.428
1646035200,2/28/2022 8:00,ETH/USD,2635.79,2657.39,2618.97,2626.86,389.5105851,1023189.776
1646031600,2/28/2022 7:00,ETH/USD,2608.54,2651.41,2599.99,2635.69,513.3617441,1353062.415
1646028000,2/28/2022 6:00,ETH/USD,2612.19,2632.66,2570,2605,460.5223557,1199660.737
1646024400,2/28/2022 5:00,ETH/USD,2612.04,2624.95,2604.58,2610.99,226.3810445,591078.6434
1646020800,2/28/2022 4:00,ETH/USD,2608.25,2634.97,2603.12,2613.19,139.5224782,364598.7448
1646017200,2/28/2022 3:00,ETH/USD,2614.6,2621.43,2600.06,2610.27,289.7738338,756387.9451
1646013600,2/28/2022 2:00,ETH/USD,2645.62,2653.2,2595.01,2612.56,167.2676532,436996.78
1646010000,2/28/2022 1:00,ETH/USD,2607.34,2680,2607.34,2643.82,621.9879224,1644424.109
1646006400,2/28/2022 0:00,ETH/USD,2618.95,2625.8,2592.5,2606.7,325.8945394,849509.296
1646002800,2/27/2022 23:00,ETH/USD,2629.56,2635.07,2574.02,2617.97,445.8299559,1167169.45
1645999200,2/27/2022 22:00,ETH/USD,2598.55,2641.81,2598.55,2632,485.1597807,1276940.543
1645995600,2/27/2022 21:00,ETH/USD,2631.36,2640.44,2558.9,2605.96,1096.717738,2858002.555
1645992000,2/27/2022 20:00,ETH/USD,2593.6,2658.88,2587.89,2636.24,1349.677194,3558073.006
1645988400,2/27/2022 19:00,ETH/USD,2736.47,2748.55,2588.12,2605.36,1890.707776,4925974.41
1645984800,2/27/2022 18:00,ETH/USD,2765.05,2767.07,2730.45,2738.77,410.0944749,1123154.445
1645981200,2/27/2022 17:00,ETH/USD,2775.84,2779.41,2763.3,2766.05,215.6011931,596363.6802
1645977600,2/27/2022 16:00,ETH/USD,2805.79,2807.91,2765.66,2777.74,690.8540182,1919012.841
1645974000,2/27/2022 15:00,ETH/USD,2767.68,2820.09,2756.86,2807.92,336.6403576,945259.193
