unix,Date,Symbol,Open,High,Low,Close,Volume LTC,Volume
1646089200,2/28/2022 23:00,LTC/USD,112.05,113.74,111.88,113.74,889.7411261,101199.1557
1646085600,2/28/2022 22:00,LTC/USD,110.61,113.79,110.52,111.85,3370.721618,377015.213
1646082000,2/28/2022 21:00,LTC/USD,109.7,111,109.3,110.59,1866.205302,206383.6444
1646078400,2/28/2022 20:00,LTC/USD,109.39,110.47,109.37,109.79,2543.644028,279266.6779
1646074800,2/28/2022 19:00,LTC/USD,109.12,109.38,108.73,109.38,399.1601386,43660.13596
1646071200,2/28/2022 18:00,LTC/USD,109.13,109.35,108.88,109.22,1160.986372,126802.9315
1646067600,2/28/2022 17:00,LTC/USD,108.92,109.04,107.43,109.04,865.7670207,94403.23594
1646064000,2/28/2022 16:00,LTC/USD,109.65,110.32,108.71,108.76,2078.147693,226019.3431
1646060400,2/28/2022 15:00,LTC/USD,106.88,109.64,106.12,109.59,1321.061829,144775.1658
1646056800,2/28/2022 14:00,LTC/USD,102.8,106.95,102.8,106.95,1468.464434,157052.2712
1646053200,2/28/2022 13:00,LTC/USD,103.19,103.57,102.66,102.99,447.1854729,46055.63186
1646049600,2/28/2022 12:00,LTC/USD,103.73,104.44,103.3,103.52,782.4504373,80999.26927
1646046000,2/28/2022 11:00,LTC/USD,103.86,103.86,103.2,103.79,602.7980383,62564.40839
1646042400,2/28/2022 10:00,LTC/USD,103.36,104.17,103.01,103.78,857.8512656,89027.80435
1646038800,2/28/2022 9:00,LTC/USD,104.12,104.45,103.33,103.33,898.7550518,92868.3595
1646035200,2/28/2022 8:00,LTC/USD,104.7,105.61,103.94,104.12,926.9737527,96516.50713
1646031600,2/28/2022 7:00,LTC/USD,102.81,104.69,102.81,104.64,446.0954,46679.42265
1646028000,2/28/2022 6:00,LTC/USD,103.42,103.66,101.22,103.04,381.1669115,39275.43856
1646024400,2/28/2022 5:00,LTC/USD,102.74,103.7,102.74,103.18,408.3090535,42129.32814
